Number,ID_Study,ID_Sample,Sample Name,ID_Analyses,Latitude,Longitude,geographic location,environment (biome),depth (m),elevation (masl),pH
194,MGYS00003673,ERS1301153,rhizosphere 93-11 MS00524,MGYA00262165,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
195,MGYS00003673,ERS1301154,rhizosphere 93-11 MS00525,MGYA00262166,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
196,MGYS00003673,ERS1301155,rhizosphere 93-11 MS00526,MGYA00262167,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
197,MGYS00003673,ERS1301156,rhizosphere 93-11 MS00527,MGYA00262168,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
198,MGYS00003673,ERS1301157,rhizosphere 93-11 MS00528,MGYA00262169,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
199,MGYS00003673,ERS1301158,rhizosphere 93-11 MS00529,MGYA00262170,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
200,MGYS00003673,ERS1301159,rhizosphere 93-11 MS00530,MGYA00262171,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
201,MGYS00003673,ERS1301160,rhizosphere kasalath MS00531,MGYA00262172,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
202,MGYS00003673,ERS1301161,rhizosphere kasalath MS00532,MGYA00262173,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
203,MGYS00003673,ERS1301162,rhizosphere kasalath MS00533,MGYA00262174,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
204,MGYS00003673,ERS1301163,rhizosphere kasalath MS00534,MGYA00262175,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
205,MGYS00003673,ERS1301164,rhizosphere kasalath MS00535,MGYA00262176,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
206,MGYS00003673,ERS1301165,rhizosphere kasalath MS00536,MGYA00262177,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
207,MGYS00003673,ERS1301166,rhizosphere kasalath MS00537,MGYA00262178,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
208,MGYS00003673,ERS1301167,rhizosphere kasalath MS00538,MGYA00262179,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
209,MGYS00003673,ERS1301168,rhizosphere kasalath MS00539,MGYA00262180,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
210,MGYS00003673,ERS1301169,rhizosphere kasalath MS00540,MGYA00262181,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
211,MGYS00003673,ERS1301170,rhizosphere W106 MS00541,MGYA00262182,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
212,MGYS00003673,ERS1301171,rhizosphere W106 MS00542,MGYA00262183,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
213,MGYS00003673,ERS1301172,rhizosphere W106 MS00543,MGYA00262184,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
214,MGYS00003673,ERS1301173,rhizosphere W106 MS00544,MGYA00262185,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
215,MGYS00003673,ERS1301174,rhizosphere W106 MS00545,MGYA00262186,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
216,MGYS00003673,ERS1301175,rhizosphere W106 MS00546,MGYA00262187,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
217,MGYS00003673,ERS1301176,rhizosphere W106 MS00547,MGYA00262188,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
218,MGYS00003673,ERS1301177,rhizosphere W106 MS00548,MGYA00262189,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
219,MGYS00003673,ERS1301178,rhizosphere W106 MS00549,MGYA00262190,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
220,MGYS00003673,ERS1301179,rhizosphere W106 MS00550,MGYA00262191,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
221,MGYS00003673,ERS1301180,rhizosphere W1514 MS00551,MGYA00262192,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
222,MGYS00003673,ERS1301181,rhizosphere W1514 MS00552,MGYA00262193,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
223,MGYS00003673,ERS1301182,rhizosphere W1514 MS00553,MGYA00262194,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
224,MGYS00003673,ERS1301183,rhizosphere W1514 MS00554,MGYA00262195,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
225,MGYS00003673,ERS1301184,rhizosphere W1514 MS00555,MGYA00262196,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
226,MGYS00003673,ERS1301185,rhizosphere W1514 MS00556,MGYA00262197,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
227,MGYS00003673,ERS1301186,rhizosphere W1514 MS00557,MGYA00262198,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
228,MGYS00003673,ERS1301187,rhizosphere W1514 MS00558,MGYA00262199,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
229,MGYS00003673,ERS1301188,rhizosphere W1514 MS00559,MGYA00262200,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
230,MGYS00003673,ERS1301189,rhizosphere W1514 MS00560,MGYA00262201,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
231,MGYS00003673,ERS1301190,rhizosphere Nipponbare MS00561,MGYA00262202,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
232,MGYS00003673,ERS1301191,rhizosphere Nipponbare MS00562,MGYA00262203,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
233,MGYS00003673,ERS1301192,rhizosphere Nipponbare MS00563,MGYA00262204,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
234,MGYS00003673,ERS1301193,rhizosphere Nipponbare MS00564,MGYA00262205,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
235,MGYS00003673,ERS1301194,rhizosphere Nipponbare MS00565,MGYA00262206,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
236,MGYS00003673,ERS1301195,rhizosphere Nipponbare MS00566,MGYA00262207,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
237,MGYS00003673,ERS1301196,rhizosphere Nipponbare MS00567,MGYA00262208,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
238,MGYS00003673,ERS1301197,rhizosphere Nipponbare MS00568,MGYA00262209,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
239,MGYS00003673,ERS1301198,rhizosphere Nipponbare MS00569,MGYA00262210,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
240,MGYS00003673,ERS1301199,rhizosphere Nipponbare MS00570,MGYA00262211,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
241,MGYS00003673,ERS1301200,rhizosphere Nipponbare MS00571,MGYA00262212,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
242,MGYS00003673,ERS1301201,rhizosphere Nipponbare MS00572,MGYA00262213,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
243,MGYS00003673,ERS1301202,rhizosphere Nipponbare MS00573,MGYA00262214,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
244,MGYS00003673,ERS1301203,rhizosphere Nipponbare MS00574,MGYA00262215,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
245,MGYS00003673,ERS1301204,rhizosphere Nipponbare MS00575,MGYA00262216,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
246,MGYS00003673,ERS1301205,rhizosphere Nipponbare MS00576,MGYA00262217,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
247,MGYS00003673,ERS1301206,rhizosphere Nipponbare MS00577,MGYA00262218,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
248,MGYS00003673,ERS1301207,rhizosphere Nipponbare MS00578,MGYA00262219,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
249,MGYS00003673,ERS1301208,rhizosphere Nipponbare MS00579,MGYA00262220,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
250,MGYS00003673,ERS1301209,rhizosphere Nipponbare MS00580,MGYA00262221,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
251,MGYS00003673,ERS1301210,rhizosphere Nipponbare MS00581,MGYA00262222,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
252,MGYS00003673,ERS1301211,rhizosphere Nipponbare MS00582,MGYA00262223,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
253,MGYS00003673,ERS1301212,rhizosphere Nipponbare MS00583,MGYA00262224,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
254,MGYS00003673,ERS1301213,rhizosphere Nipponbare MS00584,MGYA00262225,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
255,MGYS00003673,ERS1301214,rhizosphere Nipponbare MS00585,MGYA00262226,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
256,MGYS00003673,ERS1301215,rhizosphere Nipponbare MS00586,MGYA00262227,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
257,MGYS00003673,ERS1301216,rhizosphere Nipponbare MS00587,MGYA00262228,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
258,MGYS00003673,ERS1301217,rhizosphere Nipponbare MS00588,MGYA00262229,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
259,MGYS00003673,ERS1301218,rhizosphere Nipponbare MS00589,MGYA00262230,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
260,MGYS00003673,ERS1301219,rhizosphere Nipponbare MS00590,MGYA00262231,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
261,MGYS00003673,ERS1301220,rhizosphere Nipponbare MS00591,MGYA00262232,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
262,MGYS00003673,ERS1301221,rhizosphere Nipponbare MS00592,MGYA00262233,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
263,MGYS00003673,ERS1301222,rhizosphere Nipponbare MS00593,MGYA00262234,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
264,MGYS00003673,ERS1301223,rhizosphere Nipponbare MS00594,MGYA00262235,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
265,MGYS00003673,ERS1301224,rhizosphere Nipponbare MS00595,MGYA00262236,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
266,MGYS00003673,ERS1301225,rhizosphere Nipponbare MS00596,MGYA00262237,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
267,MGYS00003673,ERS1301226,rhizosphere Nipponbare MS00597,MGYA00262238,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
268,MGYS00003673,ERS1301227,rhizosphere Nipponbare MS00598,MGYA00262239,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
269,MGYS00003673,ERS1301228,rhizosphere Nipponbare MS00599,MGYA00262240,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
270,MGYS00003673,ERS1301229,rhizosphere Nipponbare MS00600,MGYA00262241,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
271,MGYS00003673,ERS1301230,rhizosphere 93-11 MS00601,MGYA00262242,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
272,MGYS00003673,ERS1301231,rhizosphere 93-11 MS00602,MGYA00262243,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
273,MGYS00003673,ERS1301232,rhizosphere 93-11 MS00603,MGYA00262244,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
274,MGYS00003673,ERS1301233,rhizosphere 93-11 MS00604,MGYA00262245,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
275,MGYS00003673,ERS1301234,rhizosphere 93-11 MS00605,MGYA00262246,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
276,MGYS00003673,ERS1301235,rhizosphere 93-11 MS00606,MGYA00262247,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
277,MGYS00003673,ERS1301236,rhizosphere 93-11 MS00607,MGYA00262248,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
278,MGYS00003673,ERS1301237,rhizosphere 93-11 MS00608,MGYA00262249,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
279,MGYS00003673,ERS1301238,rhizosphere 93-11 MS00609,MGYA00262250,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
280,MGYS00003673,ERS1301239,rhizosphere 93-11 MS00610,MGYA00262251,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
281,MGYS00003673,ERS1301240,rhizosphere kasalath MS00611,MGYA00262252,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
282,MGYS00003673,ERS1301241,rhizosphere kasalath MS00612,MGYA00262253,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
283,MGYS00003673,ERS1301242,rhizosphere kasalath MS00613,MGYA00262254,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
284,MGYS00003673,ERS1301243,rhizosphere kasalath MS00614,MGYA00262255,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
285,MGYS00003673,ERS1301244,rhizosphere kasalath MS00615,MGYA00262256,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
286,MGYS00003673,ERS1301245,rhizosphere kasalath MS00616,MGYA00262257,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
287,MGYS00003673,ERS1301246,rhizosphere kasalath MS00617,MGYA00262258,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
288,MGYS00003673,ERS1301247,rhizosphere kasalath MS00618,MGYA00262259,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
289,MGYS00003673,ERS1301248,rhizosphere kasalath MS00619,MGYA00262260,35.117,138.937,Japan;GAZ:Japan,cropland biome,,60,
290,MGYS00003673,ERS1301249,rhizosphere kasalath MS00620,MGYA00262261,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
291,MGYS00003673,ERS1301250,rhizosphere W106 MS00621,MGYA00262262,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
292,MGYS00003673,ERS1301251,rhizosphere W106 MS00622,MGYA00262263,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
293,MGYS00003673,ERS1301252,rhizosphere W106 MS00623,MGYA00262264,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
294,MGYS00003673,ERS1301253,rhizosphere W106 MS00624,MGYA00262265,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
295,MGYS00003673,ERS1301254,rhizosphere W106 MS00625,MGYA00262266,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
296,MGYS00003673,ERS1301255,rhizosphere W106 MS00626,MGYA00262267,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
297,MGYS00003673,ERS1301256,rhizosphere W106 MS00627,MGYA00262268,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
298,MGYS00003673,ERS1301257,rhizosphere W106 MS00628,MGYA00262269,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
299,MGYS00003673,ERS1301258,rhizosphere W106 MS00629,MGYA00262270,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
300,MGYS00003673,ERS1301259,rhizosphere W106 MS00630,MGYA00262271,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
301,MGYS00003673,ERS1301260,rhizosphere W1514 MS00631,MGYA00262272,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
302,MGYS00003673,ERS1301261,rhizosphere W1514 MS00632,MGYA00262273,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
303,MGYS00003673,ERS1301262,rhizosphere W1514 MS00633,MGYA00262274,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
304,MGYS00003673,ERS1301263,rhizosphere W1514 MS00634,MGYA00262275,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
305,MGYS00003673,ERS1301264,rhizosphere W1514 MS00635,MGYA00262276,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
306,MGYS00003673,ERS1301265,rhizosphere W1514 MS00636,MGYA00262277,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
307,MGYS00003673,ERS1301266,rhizosphere W1514 MS00637,MGYA00262278,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
308,MGYS00003673,ERS1301267,rhizosphere W1514 MS00638,MGYA00262279,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
309,MGYS00003673,ERS1301268,rhizosphere W1514 MS00639,MGYA00262280,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
310,MGYS00003673,ERS1301269,rhizosphere W1514 MS00640,MGYA00262281,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
311,MGYS00001014,SRS691552,RhizosphereSoil1,MGYA00051742,23.13,113.41,China,Paddy soil,,,
312,MGYS00001014,SRS691555,RhizosphereSoil2,MGYA00051764,23.13,113.42,China,Paddy soil,,,
313,MGYS00001014,SRS691556,RhizosphereSoil3,MGYA00051778,23.13,113.43,China,Paddy soil,,,
314,MGYS00001014,SRS691559,RhizosphereSoil4,MGYA00051779,23.13,113.44,China,Paddy soil,,,
315,MGYS00001014,SRS691561,RhizosphereSoil5,MGYA00051751,23.13,113.45,China,Paddy soil,,,
316,MGYS00001014,SRS691562,RhizosphereSoil6,MGYA00051761,23.13,113.46,China,Paddy soil,,,
317,MGYS00001014,SRS691563,RhizosphereSoil7,MGYA00051762,23.13,113.47,China,Paddy soil,,,
318,MGYS00001014,SRS691564,RhizosphereSoil8,MGYA00051763,23.13,113.48,China,Paddy soil,,,
319,MGYS00001014,SRS691565,RhizosphereSoil9,MGYA00051765,23.13,113.49,China,Paddy soil,,,
320,MGYS00001014,SRS691566,RhizosphereSoil10,MGYA00051766,23.13,113.50,China,Paddy soil,,,
321,MGYS00001014,SRS691567,RhizosphereSoil11,MGYA00051748,23.13,113.51,China,Paddy soil,,,
322,MGYS00001014,SRS691568,RhizosphereSoil12,MGYA00051747,23.13,113.52,China,Paddy soil,,,
323,MGYS00001014,SRS691569,RhizosphereSoil13,MGYA00051750,23.13,113.53,China,Paddy soil,,,
324,MGYS00001014,SRS691570,RhizosphereSoil14,MGYA00051749,23.13,113.54,China,Paddy soil,,,
325,MGYS00001014,SRS691572,RhizosphereSoil15,MGYA00051744,23.13,113.55,China,Paddy soil,,,
326,MGYS00000896,SRS811902,C-Organic,MGYA00044009,20.459293,85.93301,India: CRRI Experimental farm;Cuttack:Odisha-753006,,,,
327,MGYS00000765,SRS396805,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039427,,,,ENVO:00000446 (terrestrial),0.125,,
328,MGYS00000765,SRS396880,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039426,,,,ENVO:00000446 (terrestrial),0.125,,
329,MGYS00000765,SRS396881,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039425,,,,ENVO:00000446 (terrestrial),0.125,,
330,MGYS00000765,SRS396882,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039424,,,,ENVO:00000446 (terrestrial),0.125,,
331,MGYS00000765,SRS396883,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039423,,,,ENVO:00000446 (terrestrial),0.125,,
332,MGYS00000765,SRS396884,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039430,,,,ENVO:00000446 (terrestrial),0.125,,
333,MGYS00000765,SRS396886,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039428,,,,ENVO:00000446 (terrestrial),0.125,,
334,MGYS00000765,SRS396887,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039420,,,,ENVO:00000446 (terrestrial),0.125,,
335,MGYS00000765,SRS396888,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039418,,,,ENVO:00000446 (terrestrial),0.125,,
336,MGYS00000765,SRS396889,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039431,,,,ENVO:00000446 (terrestrial),0.125,,
337,MGYS00000765,SRS396890,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039432,,,,ENVO:00000446 (terrestrial),0.125,,
338,MGYS00000765,SRS396891,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039429,,,,ENVO:00000446 (terrestrial),0.125,,
339,MGYS00000765,SRS396892,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039419,,,,ENVO:00000446 (terrestrial),0.125,,
340,MGYS00000765,SRS396893,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039421,,,,ENVO:00000446 (terrestrial),0.125,,
341,MGYS00000765,SRS396894,MIMS Environmental/Metagenome sample from soil metagenome,MGYA00039422,,,,ENVO:00000446 (terrestrial),0.125,,
342,MGYS00000744,SRS416338,MIMARKS Survey related sample from Soil metagenome,MGYA00038979,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.13
343,MGYS00000744,SRS416339,MIMARKS Survey related sample from Soil metagenome,MGYA00038980,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,6.86
344,MGYS00000744,SRS416340,MIMARKS Survey related sample from Soil metagenome,MGYA00038963,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.11
345,MGYS00000744,SRS416341,MIMARKS Survey related sample from Soil metagenome,MGYA00038974,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.07
346,MGYS00000744,SRS416342,MIMARKS Survey related sample from Soil metagenome,MGYA00038973,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.17
347,MGYS00000744,SRS415085,MIMARKS Survey related sample from Soil metagenome,MGYA00038958,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,6.92
348,MGYS00000744,SRS416332,MIMARKS Survey related sample from Soil metagenome,MGYA00038970,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.11
349,MGYS00000744,SRS416333,MIMARKS Survey related sample from Soil metagenome,MGYA00038971,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.07
350,MGYS00000744,SRS416334,MIMARKS Survey related sample from Soil metagenome,MGYA00038948,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.09
351,MGYS00000744,SRS416335,MIMARKS Survey related sample from Soil metagenome,MGYA00038959,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.15
352,MGYS00000744,SRS416336,MIMARKS Survey related sample from Soil metagenome,MGYA00038954,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,7.37
353,MGYS00000744,SRS416337,MIMARKS Survey related sample from Soil metagenome,MGYA00038953,31.65,119.46667,"Jintan, Jiangsu, China",ENVO:00000446,0.1,3,6.95
